feature,count,feature_category
action-pair:edit-common-block-attributes->delete-block,2,action-pair
action-pair:delete-block->edit-common-block-attributes,1,action-pair
action-pair:edit-common-block-attributes->append-paragraph,1,action-pair
action-pair:edit-paragraph->edit-rich-text-pair-block,3,action-pair
action-pair:edit-rich-text-pair-block->edit-table-array-attributes,3,action-pair
history-label:action:edit-common-block-attributes:invoke,33,history
history-label:action:edit-common-block-attributes:ok,33,history
history-label:action:insert-block-gauntlet-block:invoke,26,history
history-label:action:insert-block-gauntlet-block:ok,26,history
history-label:action:edit-rich-text-pair-block:invoke,25,history
history-label:action:edit-rich-text-pair-block:ok,25,history
operation-ledger-created:3,26,operation-ledger
operation-event-action:invalidated:edit-rich-text-pair-block:content,14,operation-ledger
invalid-blocks:2,58,other
payload-size-profile:full:11,46,payload-size
block-depth:core/separator:0,123,block-depth
block-depth:core/spacer:0,62,block-depth
block-depth:core/verse:0,68,block-depth
block-depth:core/buttons:0,82,block-depth
block-depth:core/button:1,82,block-depth
block-depth:core/more:0,4,block-depth
block-depth:core/pullquote:0,25,block-depth
action:edit-formatted-paragraph-at-cursor,25,action
action-pair:edit-common-block-attributes->move-block,1,action-pair
action-pair:move-block->edit-formatted-paragraph-at-cursor,1,action-pair
action-pair:edit-formatted-paragraph-at-cursor->delete-block,1,action-pair
action-pair:delete-block->edit-nested-paragraph,21,action-pair
action-pair:edit-nested-paragraph->delete-block,22,action-pair
history-label:action:edit-formatted-paragraph-at-cursor:invoke,25,history
history-label:action:edit-formatted-paragraph-at-cursor:ok,25,history
depth:3,61,other
block:core/column,34,block
block:core/columns,34,block
block:core/cover,2,block
action:insert-common-block,72,action
action-pair:edit-formatted-paragraph-at-cursor->edit-table-array-attributes,3,action-pair
action-pair:edit-table-array-attributes->insert-block-gauntlet-block,1,action-pair
action-pair:insert-block-gauntlet-block->insert-common-block,3,action-pair
action-pair:insert-common-block->edit-title,2,action-pair
action-pair:edit-title->insert-heading,7,action-pair
action-pair:insert-heading->edit-formatted-paragraph-at-cursor,2,action-pair
history-label:action:insert-common-block:invoke,72,history
history-label:action:insert-common-block:ok,72,history
invariant:serialize-parse-roundtrip-stable:observed,3,invariant
invariant-signal:serialize-parse-roundtrip-stable,3,invariant
operation-event-action:invalidated:edit-formatted-paragraph-at-cursor:content,9,operation-ledger
invalid-blocks:1,53,other
block-depth:core/cover:0,2,block-depth
block-depth:core/paragraph:2,46,block-depth
